Row.names	Control	CNV	PCV	Row.names.y	label.CNV	label.PCV	label.both	sum_formula	compound_name	logFC.PCV	AveExpr.PCV	t.PCV	P.Value.PCV	adj.P.Val.PCV	B.PCV	label.PCV	logFC.CNV	AveExpr.CNV	t.CNV	P.Value.CNV	adj.P.Val.CNV	B.CNV	label.CNV	FC_ctrl_CNV	FC_ctrl_PCV
102_C21H27N3O6_[M+H]+	49086.14325	59153.6954	43415.9811	102_C21H27N3O6_[M+H]+	Not significant	Not significant	Not significant	C21H27N3O6	(E)-Casimiroedine	0.514645123	14.44702947	0.765667322	0.446976375	0.677656189	-6.861679862	Not significant	-0.144981735	14.44702947	-0.212914401	0.832139678	0.93163464	-7.120764298	Not significant	1.205099677	0.884485483
1020_C23H29NO9_[M+H]+	9555.5935	8813.47075	11044.48755	1020_C23H29NO9_[M+H]+	Not significant	Not significant	Not significant	C23H29NO9	Dihydroisomorphine-3-glucuronideDihydromorphine-3-glucuronideEtodolacacylglucuronideDihydroisomorphine-6-glucuronide	0.195474306	12.6031524	0.396783082	0.692982421	0.835363724	-7.077091459	Not significant	0.204100793	12.6031524	0.40894759	0.684082997	0.83660282	-7.059253894	Not significant	0.9223363	1.155813875
1022_C24H36O3_[M+H]+	45813.0855	47711.568	39231.806	1022_C24H36O3_[M+H]+	Not significant	Not significant	Not significant	C24H36O3	(5Z7E)-(3S)-3-hydroxy-910-seco-5710(19)-cholatrien-24-oicacid3-oxochol-4-en-24-oicacid3-Oxo-5beta-chol-1-en-24-oicAcid(22E)-3beta-Hydroxy-5alpha-chola-722-dien-24-oicAcid3-Oxo-5beta-chol-9(11)-en-24-oicAcid3-Oxo-5beta-chol-14-en-24-oicAcid3-Oxo-5beta-chol-7-en-24-oicAcid3alpha-Hydroxy-5beta-chola-814-dien-24-oicAcid(20S22E)-3beta-Hydroxychola-522-dien-24-oicAcid(22E)-3beta-Hydroxychola-522-dien-24-oicAcid3alpha-Hydroxy-5beta-chola-8(14)11-dien-24-oicAcid3alpha-Hydroxy-5beta-chola-79(11)-dien-24-oicAcid(22E)-3beta-Hydroxy-5alpha-chola-1622-dien-24-oicAcid3-Oxo-5beta-chol-8-en-24-oicAcid3-Oxo-5beta-chol-8(14)-en-24-oicAcid3-Oxo-5beta-chol-6-en-24-oicAcid3-Oxo-5beta14beta-chol-8-en-24-oicAcid3beta-Hydroxychola-57-dien-24-oicAcid3beta-Hydroxychola-516-dien-24-oicAcid(20S)-3beta-Hydroxychola-516-dien-24-oicAcidCervonoylethanolamideNabilone(3R6Z)-34-Dihydro-8-hydroxy-3-(6-pentadecenyl)-1H-2-benzopyran-1-one	-0.194616669	14.37076298	-0.321832134	0.748735946	0.862208972	-7.104261149	Not significant	-0.409562947	14.37076298	-0.668543272	0.506436727	0.705965182	-6.918606884	Not significant	1.041439743	0.856344985
1024_C12H25NO2_[M+H]+	1818.497172	2433.819525	1783.798482	1024_C12H25NO2_[M+H]+	Not significant	Not significant	Not significant	C12H25NO2	12-amino-dodecanoicacid	-0.200547265	10.39202707	-0.417002373	0.678241675	0.8294085	-7.068772588	Not significant	-0.70198106	10.39202707	-1.420713899	0.160842725	0.381705398	-6.12701279	Not significant	1.338368606	0.98091903
1026_C22H46O10_[M+H]+	30795.542	78639.60162	44899.3867	1026_C22H46O10_[M+H]+	Not significant	Not significant	Not significant	C22H46O10	UNKNOWN_484	0.231299584	14.53137507	0.389161234	0.698580814	0.838839915	-7.080111992	Not significant	-0.073327339	14.53137507	-0.121781169	0.903492926	0.967133883	-7.136175073	Not significant	2.553603428	1.457983324
103_C21H27N3O6_[M+H]+	43155.5553	44034.6595	28444.9305	103_C21H27N3O6_[M+H]+	Not significant	Not significant	Not significant	C21H27N3O6	(E)-Casimiroedine	0.422901555	14.07181831	0.68403349	0.496675727	0.712405867	-6.920971294	Not significant	-0.001211794	14.07181831	-0.001934757	0.998462921	0.999229839	-7.143669163	Not significant	1.020370592	0.659125582
1032_C18H37NO2_[M+H]+	4187.57365	16843.6345	22833.7432	1032_C18H37NO2_[M+H]+	ControlVsCNV	ControlVsPCV	Both	C18H37NO2	12-amino-octadecanoicacid2-amino-octadecanoicacidN-hexadecanoyl-ethanolamineSphing-4-enine3-dehydrosphinganine2R-amino-3E-octadecene-15-diolSphing-8Z-enineSphingosine3-DehydrosphinganinePalmitoylethanolamide	-2.135106951	12.69901281	-3.851016534	0.000295915	0.007837523	-0.484142009	ControlVsPCV	-1.564626634	12.69901281	-2.785646237	0.007203935	0.036446721	-3.463456745	ControlVsCNV	4.022289733	5.452738294
1034_C19H35NO5_[M+H]+	7584.7534	8640.1625	4978.78125	1034_C19H35NO5_[M+H]+	Not significant	Not significant	Not significant	C19H35NO5	3-{(9Z)-3-hydroxydodec-9-enoyloxy}-4-(trimethylazaniumyl)butanoate	0.638369207	12.18629966	1.548355742	0.126971703	0.328335137	-5.968999451	Not significant	0.029831498	12.18629966	0.071422224	0.943307225	0.978812274	-7.141092528	Not significant	1.139148769	0.65641966
1036_C24H48N2O10_[M+H]+	3503.400547	29600.51896	25356.71158	1036_C24H48N2O10_[M+H]+	Not significant	Not significant	Not significant	C24H48N2O10	UNKNOWN_489	-0.479669722	12.17221266	-0.622483031	0.536061954	0.742794366	-6.961329456	Not significant	-1.759922867	12.17221266	-2.254438229	0.027957357	0.104819282	-4.681414648	Not significant	8.449082133	7.237742655
1038_C11H12N4O10_[M+H]+	40692.489	46024.135	45495.83	1038_C11H12N4O10_[M+H]+	Not significant	Not significant	Not significant	C11H12N4O10	UNKNOWN_48	-0.132270947	15.30429379	-0.621109022	0.536959259	0.742927214	-6.962187598	Not significant	-0.190899312	15.30429379	-0.884845062	0.3798907	0.614523057	-6.750548257	Not significant	1.131022853	1.11803999
1039_C6H2O4_[M+H]+	3344.809382	3373.425502	3907.814	1039_C6H2O4_[M+H]+	Not significant	Not significant	Not significant	C6H2O4	UNKNOWN_48	-0.301273634	11.51862326	-0.869976585	0.387896461	0.63235732	-6.776413276	Not significant	0.177777847	11.51862326	0.50673812	0.614258053	0.789760354	-7.014154109	Not significant	1.008555381	1.168321884
1042_C31H57O8P_[M+H]+	5024.805229	53271.41273	30558.81336	1042_C31H57O8P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C31H57O8P	12-di-(9Z-tetradecenoyl)-sn-glycero-3-phosphate	-1.201434728	12.88974033	-1.620089287	0.11063349	0.298361906	-5.858881529	Not significant	-2.019466427	12.88974033	-2.68803489	0.00936341	0.043617495	-3.702480737	ControlVsCNV	10.60168709	6.081591617
1044_C17H31NO4_[M+H]+	52910.34	53548.88	50197.15	1044_C17H31NO4_[M+H]+	Not significant	Not significant	Not significant	C17H31NO4	9-Decenoylcarnitine3-(4Z)-dec-4-enoyloxy-4-(trimethylazaniumyl)butanoate3-(dec-9-enoyloxy)-4-(trimethylazaniumyl)butanoate3-dec-4-enoyloxy-4-(trimethylammonio)butyrate	0.00159546	15.45969701	0.005811387	0.995383136	0.997376808	-7.156563327	Not significant	-0.180382044	15.45969701	-0.648554947	0.519183553	0.714069961	-6.93181575	Not significant	1.012068341	0.948720987
1046_C11H9NO2_[M+H]+	3944.468395	4971.344844	4736.1348	1046_C11H9NO2_[M+H]+	Not significant	Not significant	Not significant	C11H9NO2	Indoleacrylicacid	-0.270296035	11.90166206	-0.792946131	0.431038235	0.664845996	-6.840407898	Not significant	-0.254005886	11.90166206	-0.735541676	0.464971279	0.672488525	-6.871457138	Not significant	1.260333294	1.20070294
1050_C20H40N2O8_[M+H]+	1428.497522	34005.14376	19240.00414	1050_C20H40N2O8_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C20H40N2O8	Pangamicacid	-1.74806945	11.70409652	-2.264781809	0.027275332	0.12516947	-4.672209962	Not significant	-2.985198693	11.70409652	-3.817687911	0.000329668	0.00368196	-0.575337226	ControlVsCNV	23.80483216	13.4686997
1052_C14H29NO_[M+H]+	65241.77	49539.425	64919.695	1052_C14H29NO_[M+H]+	Not significant	Not significant	Not significant	C14H29NO	tetradecamide1-deoxy-tetradecasphing-13-enine	0.038638174	15.80800727	0.257277789	0.797874128	0.897608394	-7.123134122	Not significant	0.379380266	15.80800727	2.493560628	0.015518441	0.065988966	-4.158694064	Not significant	0.759320678	0.995063362
1054_C13H23NO_[M+H]+	1079.127464	884.9922783	1005.308514	1054_C13H23NO_[M+H]+	Not significant	Not significant	Not significant	C13H23NO	Labienoxime	-0.198585727	9.59132871	-0.48156612	0.631956351	0.810267686	-7.039537123	Not significant	-0.021987279	9.59132871	-0.051896591	0.958792381	0.984625188	-7.128350696	Not significant	0.820099857	0.931593855
1056_C30H55O9P_[M+H]+	6015.872	227521.3242	108411.1215	1056_C30H55O9P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C30H55O9P	1-(9Z-octadecenoyl)-2-(9-oxo-nonanoyl)-sn-glycero-3-phosphate	-1.767377354	14.09356322	-2.311911768	0.024350751	0.121327994	-4.572234124	Not significant	-3.140175069	14.09356322	-4.054668244	0.000151453	0.002264465	0.167733871	ControlVsCNV	37.82017373	18.0208491
1058_C34H66NO8P_[M+H]+	19544.73266	204093.2506	116166.0859	1058_C34H66NO8P_[M+H]+	Not significant	Not significant	Not significant	C34H66NO8P	PE(14:1(9Z)/15:0)PE(15:0/14:1(9Z))PE-NMe(14:0/14:1(9Z))PE-NMe(14:1(9Z)/14:0)1-dodecanoyl-2-(9Z-tetradecenoyl)-glycero-3-phosphocholine1-(9Z-tetradecenoyl)-2-dodecanoyl-glycero-3-phosphocholine1-decanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine1-dodecanoyl-2-(9Z-heptadecenoyl)-glycero-3-phosphoethanolamine1-tridecanoyl-2-(9Z-hexadecenoyl)-glycero-3-phosphoethanolamine1-tetradecanoyl-2-(9Z-pentadecenoyl)-glycero-3-phosphoethanolamine1-(9Z-tetradecenoyl)-2-pentadecanoyl-glycero-3-phosphoethanolamine1-pentadecanoyl-2-(9Z-tetradecenoyl)-glycero-3-phosphoethanolamine1-(9Z-pentadecenoyl)-2-tetradecanoyl-glycero-3-phosphoethanolamine1-(9Z-hexadecenoyl)-2-tridecanoyl-glycero-3-phosphoethanolamine1-(9Z-heptadecenoyl)-2-dodecanoyl-glycero-3-phosphoethanolamine	0.618136287	13.63759381	0.652918625	0.516431379	0.726452031	-6.941791442	Not significant	-1.027868503	13.63759381	-1.05674896	0.295080603	0.542702333	-6.570626954	Not significant	10.44236594	5.943600659
106_C13H23NO6_[M+H]+	3768.24735	4060.5444	2382.434741	106_C13H23NO6_[M+H]+	Not significant	Not significant	Not significant	C13H23NO6	3-MethylglutarylcarnitineO-Adipoylcarnitine3-(5-carboxypentanoyl)oxy-4-(trimethylazaniumyl)butanoate	0.31603988	11.2682517	0.837567837	0.40570871	0.647585432	-6.804042749	Not significant	-0.187912224	11.2682517	-0.491578218	0.624871212	0.797872745	-7.021771684	Not significant	1.077568435	0.632239479
1060_C4H9NS_[M+H]+	8993.741	9367.157195	10427.061	1060_C4H9NS_[M+H]+	Not significant	Not significant	Not significant	C4H9NS	(Â±)-2-Methylthiazolidine	-0.05425614	13.00125125	-0.153527417	0.87851484	0.932907138	-7.144665914	Not significant	0.316019516	13.00125125	0.882694559	0.381042125	0.614523057	-6.752444059	Not significant	1.041519563	1.15936861
1062_C6H11NO2_[M+H]+	30556.3395	22471.8775	31565.878	1062_C6H11NO2_[M+H]+	Not significant	Not significant	Not significant	C6H11NO2	PipecolicacidL-PipecolicacidN4-AcetylaminobutanalD-PipecolicacidVigabatrinL-trans-4-Methyl-2-pyrrolidinecarboxylicacid2-Pyrrolidineaceticacid3-Acetamidobutanal(2E)-Decenoyl-ACPD-pipecolateN-Methylproline1-Piperidinecarboxylicacid	0.127380291	14.57806862	0.466431658	0.642652273	0.811633048	-7.046793423	Not significant	0.411846436	14.57806862	1.488608821	0.142003255	0.356739885	-6.04447651	Not significant	0.735424395	1.033038594
1064_C7H10N2O4_[M+H]+	2949.25105	10246.22095	13029.64875	1064_C7H10N2O4_[M+H]+	ControlVsCNV	ControlVsPCV	Both	C7H10N2O4	Pyroglutamylglycine	-1.691409128	12.19054075	-3.444041683	0.001080751	0.020872001	-1.697903375	ControlVsPCV	-1.517604452	12.19054075	-3.051269928	0.003455311	0.020401743	-2.773063964	ControlVsCNV	3.474177266	4.41795172
1066_C25H15Br2ClN2O7S_[M+H]+	46968.11	46932.58	49179.475	1066_C25H15Br2ClN2O7S_[M+H]+	Not significant	Not significant	Not significant	C25H15Br2ClN2O7S	UNKNOWN_4	-0.06829549	15.52994738	-0.841747286	0.403383858	0.645832187	-6.800537094	Not significant	0.004230053	15.52994738	0.05146299	0.959133274	0.984625188	-7.142332291	Not significant	0.999243529	1.047082265
1067_C12H12Cl3F3N2O7S2_[M+Na]+	8361.498157	11259.09111	9856.19512	1067_C12H12Cl3F3N2O7S2_[M+Na]+	Not significant	Not significant	Not significant	C12H12Cl3F3N2O7S2	UNKNOWN_4	0.006961179	11.85668751	0.005704703	0.995474088	0.997376808	-7.029465409	Not significant	-1.29771371	11.85668751	-1.02852528	0.309317567	0.54720875	-6.466221509	Not significant	1.346539926	1.178759468
1068_C5H7N4O12P3_[M+Na]+	131944.35	127576.98	132899.7	1068_C5H7N4O12P3_[M+Na]+	Not significant	Not significant	Not significant	C5H7N4O12P3	UNKNOWN_4	-0.01720407	16.98405858	-0.200953116	0.841437685	0.922000867	-7.136171024	Not significant	0.052264701	16.98405858	0.602603305	0.549119552	0.742031815	-6.960682477	Not significant	0.966899909	1.007240553
1072_C29H57N5O10_[M+H]+	2351.65066	26140.89877	14909.97943	1072_C29H57N5O10_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C29H57N5O10	UNKNOWN_500	-1.951391377	11.74170514	-2.405642174	0.019408403	0.113154652	-4.357336447	Not significant	-3.107998406	11.74170514	-3.783290959	0.000373242	0.003844392	-0.679311481	ControlVsCNV	11.11597875	6.340218677
1073_C17H36O7_[M+H]+	1996.484015	409.2136381	1190.378223	1073_C17H36O7_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C17H36O7	UNKNOWN_500	1.011632542	9.479083625	2.27939436	0.026471581	0.124368739	-4.643633687	Not significant	2.290775634	9.479083625	4.947864861	7.21E-06	0.000489574	3.142329557	ControlVsCNV	0.20496715	0.596237292
1078_C18H35N5O3_[M+H]+	9996.1434	3773.608594	4375.221303	1078_C18H35N5O3_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C18H35N5O3	UNKNOWN_501	1.63590045	11.25747932	2.577295922	0.012520142	0.091018608	-3.977970496	Not significant	2.391443977	11.25747932	3.719008071	0.00045266	0.004325938	-0.87693963	ControlVsCNV	0.377506448	0.43769093
108_C5H4N4O_[M+H]+	20027.749	78357.787	60880.9925	108_C5H4N4O_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C5H4N4O	HypoxanthineAllopurinol	-1.369835365	14.42760627	-2.36891838	0.021188225	0.114522591	-4.449028305	Not significant	-2.10404227	14.42760627	-3.59166381	0.000677221	0.005599254	-1.25894117	ControlVsCNV	3.912461006	3.03983201
1082_C30H58NO9P_[M+H]+	9187.171	308443.447	145245.486	1082_C30H58NO9P_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C30H58NO9P	1-hexadecanoyl-2-(9-oxo-nonanoyl)-sn-glycero-phosphoethanolamine	-1.698812023	14.68505155	-2.307482579	0.024613212	0.121364083	-4.581702626	Not significant	-3.090720497	14.68505155	-4.143929251	0.000112351	0.001905999	0.454108491	ControlVsCNV	33.57327811	15.80959862
1088_C33H40N4O6_[M+H]+	2216.335088	10705.80119	16860.3149	1088_C33H40N4O6_[M+H]+	Not significant	ControlVsPCV	ControlvsPCV	C33H40N4O6	D-Urobilin	-3.179456977	11.29480477	-3.990699157	0.000187248	0.00565077	-0.047013802	ControlVsPCV	-1.734893774	11.29480477	-2.149455309	0.035778565	0.124686954	-4.896991399	Not significant	4.8304073	7.607295031
1090_C16H33NO_[M+H]+	825220.2	778127.9	798562.5	1090_C16H33NO_[M+H]+	Not significant	Not significant	Not significant	C16H33NO	HexadecanamidePalmiticamide	0.054910227	19.594945	0.633802867	0.528699051	0.736816029	-6.954188422	Not significant	0.092193657	19.594945	1.050416412	0.297880085	0.543572518	-6.59117796	Not significant	0.942933656	0.967696259
1092_C20H42NO7P_[M+H]+	41350.6855	24883.7315	41297.591	1092_C20H42NO7P_[M+H]+	Not significant	Not significant	Not significant	C20H42NO7P	LysoPE(0:0/15:0)LysoPE(15:0/0:0)1-dodecanoyl-sn-glycero-3-phosphocholine1-pentadecanoyl-glycero-3-phosphoethanolamine2-pentadecanoyl-sn-glycero-3-phosphoethanolamine1-(2-methoxy-6Z-tetradecenyl)-sn-glycero-3-phosphoethanolamine	-0.446450749	14.29873474	-0.886543352	0.378982952	0.626233861	-6.761894988	Not significant	0.240689315	14.29873474	0.471783477	0.638849909	0.804513966	-7.031372754	Not significant	0.601773131	0.998715995
1094_C24H50NO8P_[M+H]+	103390.815	119069.6615	129029.39	1094_C24H50NO8P_[M+H]+	Not significant	Not significant	Not significant	C24H50NO8P	1-octadecyl-glycero-3-phosphoserine	-0.287143303	16.67159288	-1.180131237	0.242761492	0.496284895	-6.460813917	Not significant	0.011359097	16.67159288	0.046082383	0.963402755	0.984961784	-7.142597595	Not significant	1.151646416	1.247977299
1096_C25H45NO6_[M+H]+	6275.0425	6726.099	6094.5748	1096_C25H45NO6_[M+H]+	Not significant	Not significant	Not significant	C25H45NO6	3-{(9Z)-17-carboxyheptadec-9-enoyloxy}-4-(trimethylazaniumyl)butanoate	0.115715939	12.46529776	0.487823158	0.627512557	0.807922417	-7.036513569	Not significant	-0.124157917	12.46529776	-0.516657981	0.607357754	0.784151306	-7.009045451	Not significant	1.071881027	0.971240402
1098_C23H49NO11_[M+H]+	4130.559	315010.3434	153250.9215	1098_C23H49NO11_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C23H49NO11	UNKNOWN_506	-1.648952241	13.53906212	-1.712960163	0.092056716	0.26584603	-5.709575032	Not significant	-3.489383256	13.53906212	-3.578057812	0.000706702	0.005599254	-1.299260857	ControlVsCNV	76.26336855	37.1017389
110_C7H8N4O3_[M+H]+	1115.667872	3569.463219	1036.555277	110_C7H8N4O3_[M+H]+	Not significant	Not significant	Not significant	C7H8N4O3	13-Dimethyluricacid37-Dimethyluricacid19-Dimethyluricacid79-Dimethyluricacid17-Dimethyluricacid39-Dimethyluricacid	-0.682644695	9.283127659	-0.915277883	0.363966822	0.617943671	-6.723092531	Not significant	-0.81448759	9.283127659	-1.076818921	0.286174216	0.537485933	-6.549330203	Not significant	3.199395903	0.929089474
1100_C19H38O9_[M+H]+	3171.480098	14303.66369	8162.875765	1100_C19H38O9_[M+H]+	Not significant	Not significant	Not significant	C19H38O9	UNKNOWN_507	-0.581750248	11.76654822	-0.905805093	0.368783452	0.621567746	-6.744680014	Not significant	-1.402219862	11.76654822	-2.155131577	0.035311177	0.124686954	-4.885558319	Not significant	4.510090952	2.573837928
1104_C16H28O6_[M+H]+	3747.3015	3466.2365	3666.9565	1104_C16H28O6_[M+H]+	Not significant	Not significant	Not significant	C16H28O6	Nerylglucoside(S)-alpha-TerpinylglucosideD-Linalool3-glucosidePerillosideCMenthol-glucoronide(5R)-4-(2-carboxyethyl)-24-dideoxy-5-(1E3S)-3-hydroxyoct-1-en-1-yl-D-erythro-pentopyranose9R-(36-dideoxy-alpha-L-arabino-hexopyranosyloxy)-2E-decenoicacid10-(36-dideoxy-alpha-L-arabino-hexopyranosyloxy)-2E-decenoicacid	0.025572656	11.79573037	0.25153326	0.802290191	0.899302306	-7.124610223	Not significant	0.134153821	11.79573037	1.302513175	0.197884968	0.43060884	-6.298432267	Not significant	0.92499536	0.978559238
1106_C16H31N5O3_[M+H]+	1052.306698	10387.05205	3495.997435	1106_C16H31N5O3_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C16H31N5O3	UNKNOWN_508	-0.74024891	10.46380628	-1.090877989	0.279993998	0.541867298	-6.534236349	Not significant	-2.53407008	10.46380628	-3.688669648	0.000511008	0.004690141	-0.962759617	ControlVsCNV	9.870745925	3.322222923
1110_C10H9NO2_[M+H]+	141962.059	77225.773	81576.433	1110_C10H9NO2_[M+H]+	Not significant	Not significant	Not significant	C10H9NO2	Indoleaceticacid5-HydroxyindoleacetaldehydeHydroxymethylindol-3-ylketone1-Methoxy-1H-indole-3-carboxaldehyde	-0.706112786	15.02967518	-0.923376841	0.35963316	0.61283077	-6.728661846	Not significant	-0.516370689	15.02967518	-0.666539635	0.507706817	0.706673001	-6.919948752	Not significant	0.54398882	0.574635459
1112_C11H22N2O4S_[M+Na]+	13700.65291	18022.0175	22682.968	1112_C11H22N2O4S_[M+Na]+	Not significant	ControlVsPCV	ControlvsPCV	C11H22N2O4S	Pantetheine	-1.100372231	13.72731998	-3.083978871	0.003124911	0.03713836	-2.705708453	ControlVsPCV	-0.868527077	13.72731998	-2.402783435	0.01948825	0.079235122	-4.362216844	Not significant	1.315413041	1.655612192
1114_C19H37N5O3_[M+H]+	9652.397	4544.529984	4698.027232	1114_C19H37N5O3_[M+H]+	ControlVsCNV	Not significant	ControlvsCNV	C19H37N5O3	UNKNOWN_513	1.99967535	11.28524604	2.827040377	0.006435018	0.062138138	-3.372404795	Not significant	3.030688379	11.28524604	4.229346786	8.42E-05	0.001905999	0.731290378	ControlVsCNV	0.470818801	0.486721302
